source,target,corr
CDH1 (999),ESRP2 (80004),0.854
CDH1 (999),ESRP1 (54845),0.845
CDH1 (999),IRF6 (3664),0.829
CDH1 (999),EPCAM (4072),0.852
CDH1 (999),OVOL2 (58495),0.812
CDH1 (999),PRRG2 (5639),0.822
CDH1 (999),CRB3 (92359),0.835
CDH1 (999),RAB25 (57111),0.836
CDH1 (999),MARVELD3 (91862),0.893
CDH1 (999),MAL2 (114569),0.82
CDH1 (999),MARVELD2 (153562),0.832
CDH1 (999),LAD1 (3898),0.835
CDH1 (999),BICDL2 (146439),0.824
CDH1 (999),CDS1 (1040),0.819
CDH1 (999),SPINT1 (6692),0.843
CDH1 (999),TMC4 (147798),0.844
CDH1 (999),CDC42BPG (55561),0.831
CDH1 (999),KDF1 (126695),0.879
CDH1 (999),TMEM125 (128218),0.827
CDH1 (999),CLDN7 (1366),0.847
CDH1 (999),TMEM30B (161291),0.808
CDH1 (999),IQANK1 (642574),0.848
CDH1 (999),ARHGAP8 (23779),0.808
CDH1 (999),C1orf210 (149466),0.841
ZIC2 (7546),ZIC5 (85416),0.839
EPN3 (55040),PRSS8 (5652),0.839
EPN3 (55040),GRHL2 (79977),0.903
EPN3 (55040),ESRP2 (80004),0.806
EPN3 (55040),RAB25 (57111),0.842
EPN3 (55040),MARVELD3 (91862),0.84
EPN3 (55040),NECTIN4 (81607),0.83
EPN3 (55040),PROM2 (150696),0.841
EPN3 (55040),BICDL2 (146439),0.849
EPN3 (55040),OVOL1 (5017),0.827
EPN3 (55040),KDF1 (126695),0.813
EPN3 (55040),S100A14 (57402),0.818
EPN3 (55040),IQANK1 (642574),0.869
ARHGEF5 (7984),ARHGEF35 (445328),0.921
ARHGEF5 (7984),CTAGE4 (100128553),0.894
ARHGEF5 (7984),OR2A7 (401427),0.845
ARHGEF5 (7984),CTAGE8 (100142659),0.861
BCAR1 (9564),CTTN (2017),0.804
BCAR1 (9564),IKZF1 (10320),-0.825
PRSS8 (5652),GRHL2 (79977),0.872
PRSS8 (5652),ESRP2 (80004),0.83
PRSS8 (5652),ESRP1 (54845),0.815
PRSS8 (5652),IRF6 (3664),0.822
PRSS8 (5652),EPCAM (4072),0.812
PRSS8 (5652),PRRG2 (5639),0.846
PRSS8 (5652),CRB3 (92359),0.806
PRSS8 (5652),RAB25 (57111),0.863
PRSS8 (5652),MARVELD3 (91862),0.867
PRSS8 (5652),EPHA1 (2041),0.824
PRSS8 (5652),MAL2 (114569),0.808
PRSS8 (5652),LAD1 (3898),0.817
PRSS8 (5652),BICDL2 (146439),0.878
PRSS8 (5652),CDS1 (1040),0.832
PRSS8 (5652),SPINT1 (6692),0.824
PRSS8 (5652),TMC4 (147798),0.842
PRSS8 (5652),CDC42BPG (55561),0.812
PRSS8 (5652),OVOL1 (5017),0.847
PRSS8 (5652),KDF1 (126695),0.859
PRSS8 (5652),TMEM125 (128218),0.869
PRSS8 (5652),CLDN7 (1366),0.855
PRSS8 (5652),C6orf132 (647024),0.802
PRSS8 (5652),S100A14 (57402),0.839
PRSS8 (5652),IQANK1 (642574),0.847
PRSS8 (5652),ARHGAP8 (23779),0.814
PRSS8 (5652),C1orf210 (149466),0.835
LAMA3 (3909),LAMC2 (3918),0.811
NCKAP1 (10787),CTTN (2017),0.847
NCKAP1 (10787),TJP1 (7082),0.833
NCKAP1 (10787),MAP4K1 (11184),-0.815
NCKAP1 (10787),RASAL3 (64926),-0.839
NCKAP1 (10787),CD48 (962),-0.819
NCKAP1 (10787),IRAG2 (4033),-0.804
NCKAP1 (10787),SASH3 (54440),-0.843
NCKAP1 (10787),FKBP9 (11328),0.822
NCKAP1 (10787),NCKAP1L (3071),-0.815
NCKAP1 (10787),GMFG (9535),-0.806
NCKAP1 (10787),TOM1L1 (10040),0.801
NCKAP1 (10787),CD53 (963),-0.863
NCKAP1 (10787),PTPN7 (5778),-0.821
NCKAP1 (10787),TAGAP (117289),-0.806
NCKAP1 (10787),KLHL6 (89857),-0.819
NCKAP1 (10787),P2RY8 (286530),-0.862
NCKAP1 (10787),IKZF1 (10320),-0.863
NCKAP1 (10787),ARHGAP30 (257106),-0.855
NCKAP1 (10787),RCSD1 (92241),-0.844
POLD1 (5424),LIG1 (3978),0.825
SEZ6 (124925),CHGA (1113),0.819
SEZ6 (124925),CELF4 (56853),0.802
SEZ6 (124925),SCG3 (29106),0.842
SEZ6 (124925),RUNDC3A (10900),0.83
SEZ6 (124925),KCNC1 (3746),0.851
SEZ6 (124925),UNC79 (57578),0.824
SEZ6 (124925),CELF3 (11189),0.845
SEZ6 (124925),CHRNB2 (1141),0.883
SEZ6 (124925),BSN (8927),0.855
RPL18 (6141),RPS11 (6205),0.819
RPL18 (6141),RPL13A (23521),0.818
TSPAN32 (10077),C11orf21 (29125),0.96
ATP2C2 (9914),GRHL2 (79977),0.819
ATP2C2 (9914),RAB25 (57111),0.829
ATP2C2 (9914),MARVELD3 (91862),0.815
ATP2C2 (9914),BICDL2 (146439),0.843
ATP2C2 (9914),TMEM125 (128218),0.833
ATP2C2 (9914),IQANK1 (642574),0.804
MCM10 (55388),SUV39H2 (79723),0.824
ASPM (259266),KIF14 (9928),0.859
SPI1 (6688),NCF4 (4689),0.871
SPI1 (6688),LYL1 (4066),0.869
SPI1 (6688),PLEK (5341),0.834
SPI1 (6688),WDFY4 (57705),0.846
SPI1 (6688),NCF1 (653361),0.815
SPI1 (6688),TNFAIP8L2 (79626),0.867
DDX3Y (8653),USP9Y (8287),0.93
DDX3Y (8653),RPS4Y1 (6192),0.89
DDX3Y (8653),EIF1AY (9086),0.938
ACAP1 (9744),RASAL3 (64926),0.838
ACAP1 (9744),MYO1G (64005),0.803
ACAP1 (9744),CD53 (963),0.821
ACAP1 (9744),IKZF1 (10320),0.826
ACAP1 (9744),ARHGAP30 (257106),0.818
LLGL2 (3993),ESRP2 (80004),0.809
LLGL2 (3993),EPCAM (4072),0.811
LLGL2 (3993),CRB3 (92359),0.807
LLGL2 (3993),MARVELD3 (91862),0.802
