source,target,corr
EPCAM (4072),IQANK1 (642574),0.837
EPCAM (4072),ARHGAP8 (23779),0.834
EPCAM (4072),C1orf210 (149466),0.842
IFIT3 (3437),IFIT2 (3433),0.892
IFIT3 (3437),IFIT1 (3434),0.835
IFIT2 (3433),IFIT1 (3434),0.862
CAAP1 (79886),PLAA (9373),0.807
MLANA (2315),SLC45A2 (51151),0.91
MLANA (2315),PMEL (6490),0.872
MLANA (2315),SLC24A5 (283652),0.949
PCDHB10 (56126),PCDHB14 (56122),0.812
PCDHB10 (56126),PCDHB9 (56127),0.807
SASH3 (54440),ZNF205 (7755),-0.813
SASH3 (54440),ARHGAP9 (64333),0.803
SASH3 (54440),NCKAP1L (3071),0.855
SASH3 (54440),MYO1G (64005),0.82
SASH3 (54440),CD53 (963),0.869
SASH3 (54440),PTPN7 (5778),0.821
SASH3 (54440),GRAP (10750),0.833
SASH3 (54440),TAGAP (117289),0.801
SASH3 (54440),NLRC3 (197358),0.887
SASH3 (54440),CD52 (1043),0.853
SASH3 (54440),KLHL6 (89857),0.829
SASH3 (54440),TBC1D10C (374403),0.901
SASH3 (54440),SEPTIN1 (1731),0.811
SASH3 (54440),P2RY8 (286530),0.852
SASH3 (54440),IKZF1 (10320),0.866
SASH3 (54440),ARHGAP30 (257106),0.823
SASH3 (54440),RCSD1 (92241),0.834
SASH3 (54440),PTPRCAP (5790),0.815
ZNF205 (7755),CD53 (963),-0.804
ZNF205 (7755),P2RY8 (286530),-0.801
ZNF205 (7755),IKZF1 (10320),-0.848
FKBP9 (11328),CD53 (963),-0.803
FKBP9 (11328),IKZF1 (10320),-0.832
FKBP9 (11328),ARHGAP30 (257106),-0.802
NECAB1 (64168),C8orf88 (100127983),0.822
ARHGAP9 (64333),NCKAP1L (3071),0.809
ARHGAP9 (64333),GMFG (9535),0.813
ARHGAP9 (64333),CD53 (963),0.824
ARHGAP9 (64333),PTPN7 (5778),0.832
ARHGAP9 (64333),P2RY8 (286530),0.824
ARHGAP9 (64333),IKZF1 (10320),0.823
ARHGAP9 (64333),SPN (6693),0.826
NCKAP1L (3071),PDE1B (5153),0.889
NCKAP1L (3071),GMFG (9535),0.81
NCKAP1L (3071),MYO1G (64005),0.833
NCKAP1L (3071),CD53 (963),0.877
NCKAP1L (3071),PTPN7 (5778),0.857
NCKAP1L (3071),TNFAIP8L2 (79626),0.809
NCKAP1L (3071),TAGAP (117289),0.805
NCKAP1L (3071),RHOH (399),0.803
NCKAP1L (3071),KLHL6 (89857),0.853
NCKAP1L (3071),TBC1D10C (374403),0.803
NCKAP1L (3071),P2RY8 (286530),0.825
NCKAP1L (3071),IKZF1 (10320),0.886
NCKAP1L (3071),ARHGAP30 (257106),0.818
PLP1 (5354),S100B (6285),0.892
SLC12A4 (6560),LCAT (3931),0.885
GDAP1L1 (78997),SCRT1 (83482),0.82
RPS10 (6204),RPS18 (6222),0.845
MED1 (5469),CDK12 (51755),0.855
FOSB (2354),FOS (2353),0.875
OVOL2 (58495),PRRG2 (5639),0.812
OVOL2 (58495),RAB25 (57111),0.85
OVOL2 (58495),MARVELD3 (91862),0.874
OVOL2 (58495),ST14 (6768),0.812
OVOL2 (58495),MARVELD2 (153562),0.815
OVOL2 (58495),CDS1 (1040),0.805
OVOL2 (58495),SPINT1 (6692),0.817
OVOL2 (58495),TMC4 (147798),0.817
OVOL2 (58495),CDC42BPG (55561),0.848
OVOL2 (58495),KDF1 (126695),0.922
OVOL2 (58495),TMEM125 (128218),0.84
OVOL2 (58495),CLDN7 (1366),0.821
OVOL2 (58495),TMEM30B (161291),0.822
OVOL2 (58495),IQANK1 (642574),0.837
OVOL2 (58495),ARHGAP8 (23779),0.808
OVOL2 (58495),C1orf210 (149466),0.855
PCID2 (55795),CUL4A (8451),0.839
HCST (10870),MYO1G (64005),0.806
HCST (10870),TNFAIP8L2 (79626),0.802
PRRG2 (5639),CRB3 (92359),0.817
PRRG2 (5639),RAB25 (57111),0.844
PRRG2 (5639),MARVELD3 (91862),0.874
PRRG2 (5639),ST14 (6768),0.812
PRRG2 (5639),BICDL2 (146439),0.856
PRRG2 (5639),CDS1 (1040),0.805
PRRG2 (5639),SPINT1 (6692),0.822
PRRG2 (5639),TMC4 (147798),0.859
PRRG2 (5639),CDC42BPG (55561),0.832
PRRG2 (5639),KDF1 (126695),0.88
PRRG2 (5639),TMEM125 (128218),0.854
PRRG2 (5639),CLDN7 (1366),0.83
PRRG2 (5639),IQANK1 (642574),0.842
PRRG2 (5639),C1orf210 (149466),0.851
EVI2A (2123),EVI2B (2124),0.843
TAS2R4 (50832),TAS2R5 (54429),0.881
TAS2R3 (50831),TAS2R4 (50832),0.836
LRRC61 (65999),ZBED6CL (113763),0.935
VIL1 (7429),HNF1A (6927),0.816
VIL1 (7429),EPS8L3 (79574),0.802
SGCE (8910),PEG10 (23089),0.802
PAICS (10606),PPAT (5471),0.848
VPREB3 (29802),NIBAN3 (199786),0.812
VPREB3 (29802),CD19 (930),0.852
HOXD3 (3232),HOXD4 (3233),0.867
SNRPN (6638),SNURF (8926),0.852
WDFY4 (57705),NCF1 (653361),0.837
WDFY4 (57705),ZC3H12D (340152),0.84
KCNC1 (3746),UNC79 (57578),0.822
KCNC1 (3746),CELF3 (11189),0.836
KCNC1 (3746),CHRNB2 (1141),0.849
KCNC1 (3746),BSN (8927),0.844
ILF3 (3609),RAVER1 (125950),0.806
AJUBA (84962),EPHA2 (1969),0.802
FOXA1 (3169),TTC6 (319089),0.854
RPS4Y1 (6192),EIF1AY (9086),0.852
SAFB2 (9667),SAFB (6294),0.861
GDF1 (2657),CERS1 (10715),0.906
CRB3 (92359),RAB25 (57111),0.817
CRB3 (92359),MARVELD3 (91862),0.875
CRB3 (92359),GRB7 (2886),0.822
CRB3 (92359),MAL2 (114569),0.869
CRB3 (92359),ST14 (6768),0.801
CRB3 (92359),MARVELD2 (153562),0.843
CRB3 (92359),LAD1 (3898),0.85
CRB3 (92359),BICDL2 (146439),0.818
CRB3 (92359),ELF3 (1999),0.841
CRB3 (92359),CDS1 (1040),0.815
CRB3 (92359),SPINT1 (6692),0.824
CRB3 (92359),TMC4 (147798),0.825
CRB3 (92359),KDF1 (126695),0.868
CRB3 (92359),TMEM125 (128218),0.828
CRB3 (92359),CLDN7 (1366),0.819
CRB3 (92359),IQANK1 (642574),0.828
CRB3 (92359),ARHGAP8 (23779),0.817
CRB3 (92359),C1orf210 (149466),0.844
GMFG (9535),CD53 (963),0.863
GMFG (9535),PTPN7 (5778),0.876
GMFG (9535),LAPTM5 (7805),0.809
GMFG (9535),KLHL6 (89857),0.81
GMFG (9535),P2RY8 (286530),0.821
GMFG (9535),IKZF1 (10320),0.865
GMFG (9535),ARHGAP30 (257106),0.831
GMFG (9535),SPN (6693),0.856
GMFG (9535),RCSD1 (92241),0.832
ARHGEF16 (27237),MARVELD3 (91862),0.815
ARHGEF16 (27237),KDF1 (126695),0.801
ARHGEF16 (27237),IQANK1 (642574),0.806
DNMT1 (1786),RAVER1 (125950),0.821
DNMT1 (1786),CHAF1A (10036),0.83
LATS1 (9113),SCAF8 (22828),0.803
AOC3 (8639),AOC2 (314),0.879
DHX30 (22907),DCAF1 (9730),0.801
DHX30 (22907),QRICH1 (54870),0.811
ITGB4 (3691),GJB3 (2707),0.825
NIP7 (51388),UTP4 (84916),0.807
VPS4A (27183),COG8 (84342),0.808
RAB25 (57111),MARVELD3 (91862),0.897
RAB25 (57111),CBLC (23624),0.848
RAB25 (57111),CNKSR1 (10256),0.806
RAB25 (57111),EPHA1 (2041),0.805
RAB25 (57111),MAL2 (114569),0.801
RAB25 (57111),ST14 (6768),0.837
RAB25 (57111),LAD1 (3898),0.847
RAB25 (57111),BICDL2 (146439),0.9
RAB25 (57111),CDS1 (1040),0.81
RAB25 (57111),SPINT1 (6692),0.825
RAB25 (57111),TMC4 (147798),0.841
RAB25 (57111),CDC42BPG (55561),0.842
RAB25 (57111),OVOL1 (5017),0.855
RAB25 (57111),KDF1 (126695),0.904
RAB25 (57111),TMEM125 (128218),0.894
RAB25 (57111),CLDN7 (1366),0.861
RAB25 (57111),TMEM30B (161291),0.864
RAB25 (57111),S100A14 (57402),0.842
RAB25 (57111),IQANK1 (642574),0.888
RAB25 (57111),ARHGAP8 (23779),0.816
RAB25 (57111),C1orf210 (149466),0.876
RAB25 (57111),LIX1L (128077),-0.824
PRAM1 (84106),AZU1 (566),0.821
PRAM1 (84106),RAB44 (401258),0.832
UNC79 (57578),CELF3 (11189),0.839
UNC79 (57578),CHRNB2 (1141),0.836
UNC79 (57578),BSN (8927),0.825
RSAD2 (91543),CMPK2 (129607),0.857
SAA2 (6289),SAA1 (6288),0.949
RTL8C (8933),RTL8A (26071),0.849
PIWIL4 (143689),FUT4 (2526),0.817
CDCA8 (55143),KIF2C (11004),0.847
COL4A2 (1284),COL4A1 (1282),0.914
DHX9 (1660),HNRNPU (3192),0.838
ANKRD36 (375248),ANKRD36B (57730),0.831
MYO1G (64005),CD53 (963),0.843
MYO1G (64005),PTPN7 (5778),0.844
MYO1G (64005),TNFAIP8L2 (79626),0.815
MYO1G (64005),KLHL6 (89857),0.809
MYO1G (64005),IKZF1 (10320),0.844
MYO1G (64005),ARHGAP30 (257106),0.803
YAP1 (10413),EPHA2 (1969),0.848
YAP1 (10413),LAMB2 (3913),0.802
CASP1 (834),CARD16 (114769),0.825
NUSAP1 (51203),KNL1 (57082),0.829
NUSAP1 (51203),BUB1B (701),0.843
KIF23 (9493),PRC1 (9055),0.81
KNL1 (57082),BUB1B (701),0.81
DUOX1 (53905),DUOXA1 (90527),0.848
STRA6 (64220),CCDC33 (80125),0.871
GCOM1 (145781),MYZAP (100820829),0.942
MYOF (26509),EPHA2 (1969),0.826
MYOF (26509),ANXA2 (302),0.803
PARP9 (83666),DTX3L (151636),0.913
DUOXA1 (90527),DUOX2 (50506),0.829
MARVELD3 (91862),GRB7 (2886),0.808
MARVELD3 (91862),CBLC (23624),0.828
MARVELD3 (91862),CNKSR1 (10256),0.831
MARVELD3 (91862),EPHA1 (2041),0.81
MARVELD3 (91862),MAL2 (114569),0.846
MARVELD3 (91862),ST14 (6768),0.834
MARVELD3 (91862),MPZL2 (10205),0.805
MARVELD3 (91862),MARVELD2 (153562),0.86
MARVELD3 (91862),LAD1 (3898),0.869
MARVELD3 (91862),BICDL2 (146439),0.889
MARVELD3 (91862),CDS1 (1040),0.859
MARVELD3 (91862),TC2N (123036),0.805
MARVELD3 (91862),SPINT1 (6692),0.859
MARVELD3 (91862),TMC4 (147798),0.882
MARVELD3 (91862),CDC42BPG (55561),0.868
MARVELD3 (91862),OVOL1 (5017),0.834
MARVELD3 (91862),KDF1 (126695),0.94
MARVELD3 (91862),TMEM125 (128218),0.881
MARVELD3 (91862),CLDN7 (1366),0.875
MARVELD3 (91862),TMEM30B (161291),0.851
MARVELD3 (91862),CLDN4 (1364),0.804
MARVELD3 (91862),S100A14 (57402),0.828
MARVELD3 (91862),IQANK1 (642574),0.901
MARVELD3 (91862),ARHGAP8 (23779),0.873
MARVELD3 (91862),PRR5-ARHGAP8 (553158),0.82
MARVELD3 (91862),C1orf210 (149466),0.904
MARVELD3 (91862),LIX1L (128077),-0.831
TIGD7 (91151),ZNF75A (7627),0.814
TOM1L1 (10040),IKZF1 (10320),-0.82
ZMYND15 (84225),CXCL16 (58191),0.802
MBD1 (4152),CXXC1 (30827),0.843
P3H4 (10609),FKBP10 (60681),0.813
GRB7 (2886),MAL2 (114569),0.823
GRB7 (2886),ELF3 (1999),0.826
GRB7 (2886),KDF1 (126695),0.807
COL6A1 (1291),COL6A2 (1292),0.888
CBLC (23624),LAD1 (3898),0.814
CBLC (23624),BICDL2 (146439),0.816
CBLC (23624),OVOL1 (5017),0.812
CBLC (23624),KDF1 (126695),0.82
CBLC (23624),S100A14 (57402),0.805
CBLC (23624),IQANK1 (642574),0.82
RPS11 (6205),RPL13A (23521),0.881
RPL13A (23521),RPS9 (6203),0.834
CNKSR1 (10256),SPINT1 (6692),0.815
CNKSR1 (10256),KDF1 (126695),0.842
CNKSR1 (10256),TMEM125 (128218),0.806
CNKSR1 (10256),CLDN7 (1366),0.821
CNKSR1 (10256),IQANK1 (642574),0.812
CNKSR1 (10256),C1orf210 (149466),0.805
PLK4 (10733),MAD2L1 (4085),0.817
CCN1 (3491),CRIM1 (51232),0.827
CCN1 (3491),GPX8 (493869),0.856
CCN1 (3491),AXL (558),0.817
CD53 (963),PTPN7 (5778),0.9
CD53 (963),LAPTM5 (7805),0.809
CD53 (963),TNFAIP8L2 (79626),0.802
CD53 (963),INPP5D (3635),0.811
CD53 (963),KLHL6 (89857),0.904
CD53 (963),HCLS1 (3059),0.826
CD53 (963),P2RY8 (286530),0.886
CD53 (963),IKZF1 (10320),0.921
CD53 (963),ARHGAP30 (257106),0.888
CD53 (963),SPN (6693),0.804
CD53 (963),RCSD1 (92241),0.845
CD53 (963),PTPRCAP (5790),0.808
NECTIN4 (81607),PROM2 (150696),0.804
NECTIN4 (81607),BICDL2 (146439),0.802
SETDB1 (9869),POGZ (23126),0.813
S100A8 (6279),S100A9 (6280),0.879
PTPN7 (5778),TNFAIP8L2 (79626),0.835
PTPN7 (5778),LAIR1 (3903),0.806
PTPN7 (5778),INPP5D (3635),0.817
PTPN7 (5778),KLHL6 (89857),0.866
PTPN7 (5778),P2RY8 (286530),0.86
PTPN7 (5778),IKZF1 (10320),0.896
PTPN7 (5778),ARHGAP30 (257106),0.856
PTPN7 (5778),SPN (6693),0.853
PTPN7 (5778),RCSD1 (92241),0.81
RPL32 (6161),RPL29 (6159),0.826
RPL32 (6161),RPL15 (6138),0.846
RPL32 (6161),RPL14 (9045),0.803
CCNA2 (890),MAD2L1 (4085),0.852
CDCA5 (113130),INCENP (3619),0.809
CDCA5 (113130),FEN1 (2237),0.803
EPHA1 (2041),LAD1 (3898),0.801
EPHA1 (2041),BICDL2 (146439),0.818
EPHA1 (2041),OVOL1 (5017),0.833
EPHA1 (2041),S100A14 (57402),0.823
MAL2 (114569),MARVELD2 (153562),0.834
MAL2 (114569),LAD1 (3898),0.824
MAL2 (114569),ELF3 (1999),0.843
MAL2 (114569),CDS1 (1040),0.843
MAL2 (114569),SPINT1 (6692),0.814
MAL2 (114569),TMC4 (147798),0.816
MAL2 (114569),KDF1 (126695),0.86
MAL2 (114569),TMEM125 (128218),0.807
MAL2 (114569),CLDN7 (1366),0.826
MAL2 (114569),CLDN4 (1364),0.822
MAL2 (114569),IQANK1 (642574),0.84
MAL2 (114569),ARHGAP8 (23779),0.817
MAL2 (114569),C1orf210 (149466),0.808
PPRC1 (23082),PDCD11 (22984),0.804
PDCD11 (22984),NOLC1 (9221),0.801
ST14 (6768),SPINT1 (6692),0.829
ST14 (6768),CDC42BPG (55561),0.814
ST14 (6768),KDF1 (126695),0.873
ST14 (6768),TMEM125 (128218),0.816
ST14 (6768),CLDN7 (1366),0.81
ST14 (6768),C1orf210 (149466),0.826
CDC123 (8872),NUDT5 (11164),0.816
AKR1C2 (1646),AKR1C1 (1645),0.87
AKR1C2 (1646),AKR1C3 (8644),0.826
CCDC74B (91409),CCDC74A (90557),0.809
PTPN14 (5784),GPX8 (493869),0.812
ZNF117 (51351),ERV3-1 (2086),0.888
MARVELD2 (153562),LAD1 (3898),0.803
MARVELD2 (153562),ELF3 (1999),0.804
MARVELD2 (153562),TMEM184A (202915),0.813
MARVELD2 (153562),SPINT1 (6692),0.822
MARVELD2 (153562),CDC42BPG (55561),0.804
MARVELD2 (153562),KDF1 (126695),0.863
MARVELD2 (153562),CLDN7 (1366),0.83
MARVELD2 (153562),CLDN4 (1364),0.809
MARVELD2 (153562),IQANK1 (642574),0.821
MARVELD2 (153562),C1orf210 (149466),0.826
GRAP (10750),CD52 (1043),0.805
MAGED4 (728239),MAGED4B (81557),0.978
TRIM74 (378108),TRIM73 (375593),0.844
BUB1B (701),ARHGAP11A (9824),0.805
BRPF1 (7862),TATDN2 (9797),0.805
STEAP2 (261729),STEAP1 (26872),0.816
H2BC5 (3017),H2AC6 (8334),0.83
LAD1 (3898),BICDL2 (146439),0.814
LAD1 (3898),SPINT1 (6692),0.813
LAD1 (3898),OVOL1 (5017),0.813
LAD1 (3898),KDF1 (126695),0.859
LAD1 (3898),CLDN7 (1366),0.832
LAD1 (3898),S100A14 (57402),0.815
LAD1 (3898),IQANK1 (642574),0.852
LAD1 (3898),ARHGAP8 (23779),0.819
LAD1 (3898),C1orf210 (149466),0.817
PSMD4 (5710),PSMB4 (5692),0.826
CELF3 (11189),CHRNB2 (1141),0.899
CELF3 (11189),BSN (8927),0.833
CELF3 (11189),SCN3B (55800),0.811
CELF3 (11189),NSG2 (51617),0.836
CELF3 (11189),CDK5R2 (8941),0.829
C1R (715),C1S (716),0.845
CELF3 (11189),SCRT1 (83482),0.814
GATD3A (8209),PWP2 (5822),0.818
ICOSLG (23308),FP565260.3 (102723996),0.874
CHRNB2 (1141),BSN (8927),0.894
CHRNB2 (1141),SCN3B (55800),0.81
CHRNB2 (1141),NSG2 (51617),0.811
CHRNB2 (1141),CDK5R2 (8941),0.852
CHRNB2 (1141),SCRT1 (83482),0.801
TONSL (4796),RECQL4 (9401),0.834
MFSD12 (126321),C19orf71 (100128569),0.877
ZNF577 (84765),ZNF649 (65251),0.858
DBF4B (80174),KIF18B (146909),0.831
POLR3K (51728),SNRNP25 (79622),0.802
BICDL2 (146439),CDS1 (1040),0.818
BICDL2 (146439),SPINT1 (6692),0.806
BICDL2 (146439),TMC4 (147798),0.872
BICDL2 (146439),CDC42BPG (55561),0.82
BICDL2 (146439),OVOL1 (5017),0.869
BICDL2 (146439),KDF1 (126695),0.868
BICDL2 (146439),TMEM125 (128218),0.899
BICDL2 (146439),CLDN7 (1366),0.853
BICDL2 (146439),TMEM30B (161291),0.827
BICDL2 (146439),S100A14 (57402),0.848
BICDL2 (146439),IQANK1 (642574),0.878
BICDL2 (146439),RNF223 (401934),0.825
BICDL2 (146439),ARHGAP8 (23779),0.818
BICDL2 (146439),C1orf210 (149466),0.87
BICDL2 (146439),LIX1L (128077),-0.833
RPL29 (6159),RPL14 (9045),0.835
OXER1 (165140),HAAO (23498),0.932
TNFAIP8L2 (79626),SPN (6693),0.807
ELF3 (1999),CLDN7 (1366),0.802
ELF3 (1999),CLDN4 (1364),0.839
CDS1 (1040),SPINT1 (6692),0.811
CDS1 (1040),TMC4 (147798),0.815
CDS1 (1040),CDC42BPG (55561),0.801
CDS1 (1040),KDF1 (126695),0.856
CDS1 (1040),TMEM125 (128218),0.822
CDS1 (1040),CLDN7 (1366),0.814
CDS1 (1040),IQANK1 (642574),0.84
CDS1 (1040),ARHGAP8 (23779),0.81
CDS1 (1040),C1orf210 (149466),0.81
DTX3L (151636),PARP14 (54625),0.847
BSN (8927),CDK5R2 (8941),0.816
NAA15 (80155),ABCE1 (6059),0.822
SLC45A2 (51151),PMEL (6490),0.83
SLC45A2 (51151),SLC24A5 (283652),0.914
GPX8 (493869),GNG12 (55970),0.81
TAGAP (117289),IKZF1 (10320),0.803
TMEM184A (202915),CLDN4 (1364),0.805
TC2N (123036),KDF1 (126695),0.809
SPINT1 (6692),TMC4 (147798),0.824
SPINT1 (6692),CDC42BPG (55561),0.858
SPINT1 (6692),KDF1 (126695),0.885
SPINT1 (6692),TMEM125 (128218),0.819
SPINT1 (6692),CLDN7 (1366),0.844
SPINT1 (6692),IQANK1 (642574),0.826
SPINT1 (6692),ARHGAP8 (23779),0.806
SPINT1 (6692),C1orf210 (149466),0.821
SCN3B (55800),SCRT1 (83482),0.802
CHRFAM7A (89832),GOLGA8H (728498),0.812
UGT1A6 (54578),UGT1A1 (54658),0.854
NIBAN3 (199786),CD19 (930),0.807
ZNF701 (55762),ZNF808 (388558),0.89
TMC4 (147798),CDC42BPG (55561),0.82
TMC4 (147798),KDF1 (126695),0.876
TMC4 (147798),TMEM125 (128218),0.87
TMC4 (147798),CLDN7 (1366),0.843
TMC4 (147798),TMEM30B (161291),0.814
TMC4 (147798),IQANK1 (642574),0.846
TMC4 (147798),ARHGAP8 (23779),0.816
TMC4 (147798),C1orf210 (149466),0.871
TMC8 (147138),ARHGAP30 (257106),0.804
NLRC3 (197358),CD52 (1043),0.831
NLRC3 (197358),TBC1D10C (374403),0.881
NLRC3 (197358),IKZF1 (10320),0.812
NLRC3 (197358),PTPRCAP (5790),0.803
RPSA (3921),RPL14 (9045),0.838
TAP1 (6890),PSMB9 (5698),0.85
RHOH (399),IKZF1 (10320),0.817
INPP5D (3635),IKZF1 (10320),0.815
INPP5D (3635),ARHGAP30 (257106),0.801
JMJD7-PLA2G4B (8681),PLA2G4B (100137049),0.844
NPIPB12 (440353),NPIPB4 (440345),0.816
NPIPB12 (440353),NPIPB5 (100132247),0.873
NPIPB3 (23117),NPIPB4 (440345),0.806
NPIPB3 (23117),NPIPB5 (100132247),0.851
CD52 (1043),TBC1D10C (374403),0.834
CAVIN4 (347273),TMEFF1 (8577),0.832
CAVIN4 (347273),MSANTD3-TMEFF1 (100526694),0.868
RPS9 (6203),RPL10A (4736),0.846
CDC42BPG (55561),KDF1 (126695),0.894
CDC42BPG (55561),TMEM125 (128218),0.816
CDC42BPG (55561),CLDN7 (1366),0.816
CDC42BPG (55561),IQANK1 (642574),0.853
CDC42BPG (55561),ARHGAP8 (23779),0.818
CDC42BPG (55561),C1orf210 (149466),0.823
TPPP (11076),ZDHHC11B (653082),0.809
PLEKHG5 (57449),TNFRSF25 (8718),0.81
ZNF570 (148268),ZNF569 (148266),0.902
LAMB2 (3913),IKZF1 (10320),-0.805
AZU1 (566),PPP1R27 (116729),0.805
AZU1 (566),RAB44 (401258),0.835
GNG12 (55970),PARVA (55742),0.802
KLHL6 (89857),P2RY8 (286530),0.846
KLHL6 (89857),IKZF1 (10320),0.899
KLHL6 (89857),ARHGAP30 (257106),0.853
RAB43 (339122),ISY1-RAB43 (100534599),0.906
OVOL1 (5017),KDF1 (126695),0.826
OVOL1 (5017),TMEM125 (128218),0.809
OVOL1 (5017),CLDN7 (1366),0.802
OVOL1 (5017),S100A14 (57402),0.829
OVOL1 (5017),IQANK1 (642574),0.847
OVOL1 (5017),LIX1L (128077),-0.838
UQCRH (7388),UQCRHL (440567),0.82
TLR10 (81793),CD19 (930),0.812
TLR10 (81793),SPIB (6689),0.81
RPL15 (6138),RPL14 (9045),0.809
SEZ6L2 (26470),ASPHD1 (253982),0.803
TVP23C (201158),TVP23C-CDRT4 (100533496),0.811
TBC1D10C (374403),IKZF1 (10320),0.805
TBC1D10C (374403),PTPRCAP (5790),0.825
DRAP1 (10589),C11orf68 (83638),0.817
KDF1 (126695),TMEM125 (128218),0.899
KDF1 (126695),CLDN7 (1366),0.883
KDF1 (126695),TMEM30B (161291),0.865
KDF1 (126695),C1orf116 (79098),0.803
KDF1 (126695),S100A14 (57402),0.814
KDF1 (126695),IQANK1 (642574),0.89
KDF1 (126695),ARHGAP8 (23779),0.855
KDF1 (126695),C1orf210 (149466),0.919
KDF1 (126695),LIX1L (128077),-0.814
SFN (2810),PKP3 (11187),0.801
LRRC37A (9884),LRRC37A2 (474170),0.878
C18orf32 (497661),RPL17-C18orf32 (100526842),0.832
ALS2CL (259173),GJB3 (2707),0.803
GOLGA8Q (727909),GOLGA8R (101059918),0.925
GOLGA8Q (727909),GOLGA8O (728047),0.914
GOLGA8Q (727909),GOLGA8N (643699),0.889
TMEM125 (128218),CLDN7 (1366),0.871
TMEM125 (128218),TMEM30B (161291),0.833
TMEM125 (128218),SOWAHB (345079),0.802
TMEM125 (128218),IQANK1 (642574),0.851
TMEM125 (128218),C1orf210 (149466),0.94
FAM156B (727866),FAM156A (29057),0.88
HLA-DQB1 (3119),HLA-DRB1 (3123),0.835
HLA-DQB1 (3119),HLA-DQA1 (3117),0.805
HLA-DQB1 (3119),HLA-DRB5 (3127),0.821
CIITA (4261),HLA-DRB1 (3123),0.868
CIITA (4261),HLA-DQA1 (3117),0.848
CIITA (4261),HLA-DRB5 (3127),0.865
CIITA (4261),HLA-DOA (3111),0.834
CIITA (4261),HLA-DRA (3122),0.933
CIITA (4261),HLA-DPB1 (3115),0.839
CIITA (4261),HLA-DPA1 (3113),0.887
B3GNT3 (10331),GJB3 (2707),0.819
TSHZ1 (10194),ZADH2 (284273),0.815
ANKRD18A (253650),FAM95C (100289137),0.867
ZNF816 (125893),ZNF888 (388559),0.834
HCLS1 (3059),IKZF1 (10320),0.82
HCLS1 (3059),ARHGAP30 (257106),0.819
HOXC9 (3225),HOXC6 (3223),0.806
ZNF443 (10224),ZNF799 (90576),0.873
FAM83H (286077),IQANK1 (642574),0.858
SLC26A11 (284129),SGSH (6448),0.853
CLDN7 (1366),TMEM30B (161291),0.82
CLDN7 (1366),C1orf116 (79098),0.802
CLDN7 (1366),C6orf132 (647024),0.801
CLDN7 (1366),CLDN4 (1364),0.843
CLDN7 (1366),S100A14 (57402),0.802
CLDN7 (1366),IQANK1 (642574),0.841
CLDN7 (1366),C1orf210 (149466),0.863
TMEM30B (161291),IQANK1 (642574),0.827
TMEM30B (161291),C1orf210 (149466),0.836
P2RY8 (286530),IKZF1 (10320),0.888
P2RY8 (286530),ARHGAP30 (257106),0.868
P2RY8 (286530),RCSD1 (92241),0.858
HCAR2 (338442),HCAR3 (8843),0.88
C1orf116 (79098),GJB3 (2707),0.814
FOXL2 (668),FOXL2NB (401089),0.94
EIF3C (8663),EIF3CL (728689),0.925
PKP3 (11187),IQANK1 (642574),0.809
FOXD4L4 (349334),FOXD4L5 (653427),0.878
TMEM106A (113277),CCDC200 (100874261),0.841
RGPD2 (729857),RGPD1 (400966),0.923
PMEL (6490),SLC24A5 (283652),0.852
IKZF1 (10320),ARHGAP30 (257106),0.907
IKZF1 (10320),TEAD1 (7003),-0.801
IKZF1 (10320),SPN (6693),0.813
IKZF1 (10320),RCSD1 (92241),0.863
ARL17A (51326),LRRC37A2 (474170),0.883
ZNF829 (374899),ZNF568 (374900),0.922
NPIPB4 (440345),NPIPB5 (100132247),0.915
KRT5 (3852),KRT6A (3853),0.834
GOLGA8R (101059918),GOLGA8O (728047),0.94
GOLGA8R (101059918),GOLGA8N (643699),0.928
ARHGAP30 (257106),RCSD1 (92241),0.831
SEPTIN10 (151011),SOWAHC (65124),0.828
AKR1C1 (1645),AKR1C3 (8644),0.811
C6orf132 (647024),IQANK1 (642574),0.803
ZNF177 (7730),ZNF559-ZNF177 (100529215),0.825
GJB3 (2707),SERPINB5 (5268),0.807
S100A14 (57402),IQANK1 (642574),0.823
S100A14 (57402),LIX1L (128077),-0.802
KIAA0408 (9729),SOGA3 (387104),0.876
HLA-DRB1 (3123),HLA-DQA1 (3117),0.832
HLA-DRB1 (3123),HLA-DRB5 (3127),0.942
HLA-DRB1 (3123),HLA-DMA (3108),0.815
HLA-DRB1 (3123),HLA-DRA (3122),0.927
HLA-DRB1 (3123),HLA-DPB1 (3115),0.807
HLA-DRB1 (3123),HLA-DPA1 (3113),0.88
POM121 (9883),POM121C (100101267),0.919
FAM72A (729533),FAM72D (728833),0.836
TTC30B (150737),TTC30A (92104),0.804
HLA-DQA1 (3117),HLA-DRB5 (3127),0.871
HLA-DQA1 (3117),HLA-DOA (3111),0.867
HLA-DQA1 (3117),HLA-DRA (3122),0.848
HLA-DQA1 (3117),HLA-DPA1 (3113),0.844
H2AC13 (8329),H3C10 (8357),0.889
ZFP28 (140612),ZNF470 (388566),0.873
MAGEA6 (4105),MAGEA12 (4111),0.807
MAGEA6 (4105),MAGEA3 (4102),0.932
MAGEA6 (4105),MAGEA2 (4101),0.849
MAGEA6 (4105),CSAG3 (389903),0.807
ZNF790 (388536),ZNF345 (25850),0.833
HLA-DRB5 (3127),HLA-DRA (3122),0.905
