source,target,corr
LTBR (4055),ML210,0.408
AIFM2 (84883),ML210,0.404
PERP (64065),ML210,0.442
ERBB3 (2065),ML210,0.408
AVPI1 (60370),ML210,0.407
KLF5 (688),ML210,0.409
DOCK2 (1794),ML210,-0.422
OSGIN1 (29948),ML210,0.42
SOX13 (9580),ML210,0.444
NQO1 (1728),1S,3R-RSL-3,0.401
NQO1 (1728),ML210,0.451
P2RY8 (286530),CIL56,-0.412
SHTN1 (57698),ML210,0.427
